accession	specimen_id	gene	genome	length_bp	paper_doi	paper_short	genbank_organism	notes
AB988824	KU-TK100705-1	CO1	mt	638	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988825	KU-TK100705-2	CO1	mt	638	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988980	KU-TK100705-1	cytb	mt	1178	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988981	KU-TK100705-2	cytb	mt	1178	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988902	KU-TK100705-1	ND5	mt	965	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988903	KU-TK100705-2	ND5	mt	965	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988745	KU-TK100705-1	E3	nuc	842	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988746	KU-TK100705-2	E3	nuc	842	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988747	KU-TK100705-3	E3	nuc	842	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988663	KU-TK100705-1	sreb2	nuc	870	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988664	KU-TK100705-2	sreb2	nuc	870	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988665	KU-TK100705-3	sreb2	nuc	870	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988581	KU-TK100705-1	RAG2	nuc	882	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988582	KU-TK100705-2	RAG2	nuc	882	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988583	KU-TK100705-3	RAG2	nuc	882	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988499	KU-TK100705-1	Ptr	nuc	636	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988500	KU-TK100705-2	Ptr	nuc	636	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988501	KU-TK100705-3	Ptr	nuc	636	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988417	KU-TK100705-1	RYR3	nuc	806	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988418	KU-TK100705-2	RYR3	nuc	806	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988419	KU-TK100705-3	RYR3	nuc	806	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988335	KU-TK100705-1	myh6	nuc	719	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988336	KU-TK100705-2	myh6	nuc	719	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
AB988337	KU-TK100705-3	myh6	nuc	719	10.1016/j.ympev.2015.04.012	Yamasaki2015	Rhinogobius kurodai
